"1","의료의약","벤처기업","비엘테크(주)","강원도 춘천시 퇴계농공로 84","0332642686","","2010","1","","","1","","강원청"
"2","기계","중소기업","(주)태진금속","강원도 원주시 문막읍 동화공단로 68-1","0337447480","자동차 필터(연료,에어)","2016 ","","","","","","강원청"
"3","화학","중소기업","바디텍메드(주)","강원도 춘천시 동내면 거두단지1길 43","0332431400","체외진단기기 및 진단의약품","2013 ","2","1","","1","","강원청"
"4","화학","중소기업","합자회사 대동엘로이샷시","강원도 횡성군 우천면 서동로 145-3","0333441489","플라스틱 창호용 형재","2016 ","1","","","1","","강원청"
"5","전기","중소기업","(주)소룩스","강원도 원주시 문막읍 동화공단로 68","0337446847","조명기구","1998 ","4","2","","2","","강원청"
"6","화학","중소기업","(합)대동창호","강원도 원주시 소초면 송황유사길 42-26","0337477489","PVC창호","2016 ","1","","","1","","강원청"
"7","의료의약","벤처기업","(주)메디아나","강원도 원주시 문막읍 동화공단로 132","07070929939","의료용품및기타의약관련제품제조업","1998","2","","1","1","","강원청"
"8","의료의약","중소기업","(주)웰코스","강원도 춘천시 퇴계동 21-12","07078263415","화장품","2014","1","1","","","","강원청"
"9","식품음료","중소기업","㈜서울에프엔비","강원도 횡성군 공근면 아이티밸리길 36(초원리 662-1)","0333459550","음료제조업","2015","2","","","2","","강원청"
"10","식품음료","중소기업","(주)산돌식품","강원도 홍천군 홍천읍 설악로 1009-9","0334351010","생칼국수","2014","1","","1","","","강원청"
"11","농산물가공","중소기업","㈜세준에프앤비","강원도 홍천군 남면 흥성길 53","0334329246","기타식품제조업","2016","2","","","2","","강원청"
"12","의료의약","중소기업","(주)리스템","강원도 원주시 문막읍 동화공단로 94","337408491","","2013","3","3","","","","강원청"
"13","전기","벤처기업","플럭스라이트(주)","강원도 횡성군 공근면 아이티밸리길 17","0333441371","조명기기.등기구,LED조명기기외","2009 ","1","","","1","","강원청"
"14","의료의약","벤처기업","(주)씨유메디칼시스템","강원도 원주시 문막읍 동화리130-1","0337477657","","2007","1","1","","","","강원청"
"15","식품음료","중소기업","㈜케이프라이드","강원도 횡성군 우천면 우천제2농공단지로 65-50(우천면 법주리 743)","070-5003-6514","스테이크 소시지","2015","","","","","","강원청"
